실험,브랜치,결과,prior_mode,lam_gamma,b_bound,b_min,b_max,run_tag,mse_ls,mse_lq,auc_ls,auc_lq,auc_prior_ls,auc_prior_lq,auc_zprior_ls,auc_zprior_lq,auc_zprior_ls_wavg,auc_zprior_lq_wavg,gain_ls,gain_lq,gain_ls_wavg,gain_lq_wavg,auc_ls_wavg,auc_lq_wavg,auc_prior_ls_wavg,auc_prior_lq_wavg,auc_ls_niigata2004,auc_prior_ls_niigata2004,n_ls,n_lq,n,a_LS,b_LS,a_LQ,b_LQ,gamma_ls_max,gamma_lq_max,sum_gamma2,frac_middle,c_LS,c_LQ
4 3번 b10 자연혼재,followup3-avg-b10,followup3-avg-b10-natmix,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
4 3번 b10 자연혼재,followup3-avg-b10,followup3-avg-b10-natmix,[베이스라인] 전부 기저확률,,,,,,0.1502770083102493,0.2494231612669476,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
5 6번 b10 자연혼재,followup3-lqmax-b10,followup3-lqmax-b10-natmix,bounded,10.0,,-2.0,10.0,bounded_lam10_b10-natmix,0.1371212718010325,0.2408705471471037,0.8710439120996305,0.8038990825688074,0.8910766652702136,0.8633792048929664,0.8910766652702136,0.8633792048929664,0.8882617351397255,0.8372328435881067,-0.020032753170583,-0.059480122324159,-0.0401160237108358,-0.0619203956163426,0.8481457114288896,0.775312447971764,0.8882617351397255,0.8372328435881067,0.9639423076923076,0.96875,418,229,418,1.582856784429489,9.588503781595774,0.5054128561243995,-0.3364140951384531,0.8882736762121091,0.938610622506176,5.705213786116216,0.534688995215311,,
5 6번 b10 자연혼재,followup3-lqmax-b10,followup3-lqmax-b10-natmix,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
5 6번 b10 자연혼재,followup3-lqmax-b10,followup3-lqmax-b10-natmix,[베이스라인] 전부 기저확률,,,,,,0.1502770083102493,0.2494231612669476,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,area-fixed,0.0,,,,,0.1705692716812826,0.249728282715984,0.7066666666666667,0.8271406727828746,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.818348623853211,0.8399598393574298,0.7698132442003763,-0.1342857142857142,0.0087920489296635,-0.1618885799608692,0.0021240918223133,0.6780712593965605,0.7719373360226897,0.7968643805993205,0.715445570663787,0.5,0.875,125,229,278,1.0,0.0,1.0,0.0,3.395219157923355,0.6598221996726036,46.78957615530334,0.3995215311004784,1.0,1.0
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,area-fixed,0.1,,,,,0.1696853915289141,0.2499133068117298,0.7073809523809524,0.8276758409785933,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.818348623853211,0.8399598393574298,0.7698132442003763,-0.1335714285714284,0.0093272171253822,-0.1529296673874988,0.0094785269417254,0.687030171969931,0.7792917711421018,0.7968643805993205,0.715445570663787,0.5,0.875,125,229,278,1.0,0.0,1.0,0.0,3.185857727384252,0.630532686271375,43.38851001901656,0.3983253588516746,1.0,1.0
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,area-fixed,1.0,,,,,0.1607630717236185,0.2499381039824204,0.7157142857142856,0.8270642201834862,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.818348623853211,0.8399598393574298,0.7698132442003763,-0.1252380952380952,0.0087155963302751,-0.1506590464421791,0.0247144940878956,0.6893007929152507,0.794527738288272,0.7968643805993205,0.715445570663787,0.5,0.875,125,229,278,1.0,0.0,1.0,0.0,2.5267142012025867,0.4946122325840444,26.738851209181217,0.4114832535885167,1.0,1.0
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,area-fixed,10.0,,,,,0.0998487663732678,0.2497435455511018,0.8395238095238096,0.8225535168195719,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.818348623853211,0.8399598393574298,0.7698132442003763,-0.0014285714285713,0.0042048929663608,0.0150602409638553,0.0113506178207936,0.8550200803212852,0.7811638620211699,0.7968643805993205,0.715445570663787,1.0,0.875,125,229,278,1.0,0.0,1.0,0.0,0.5830661044996729,0.2113144258216497,1.2168596040413495,0.4808612440191387,1.0,1.0
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
