c_ls,c_lq,lam_gamma,ls_prior,ls_post,ls_gain,lq_prior,lq_post,lq_gain,mse_ls,mse_lq,bias_ls,bias_lq,nll,n_ls,n_lq
0.9,0.55,10.0,0.8288590258469776,0.8430105035526722,0.0141514777056945,0.7594953117069397,0.7900247793517444,0.0305294676448046,0.1185626757868451,0.1821412092647487,-0.0675494628788928,-0.0592319431557271,6344.493237106271,125,229
0.9,0.6,10.0,0.8288590258469776,0.8474899598393575,0.0186309339923799,0.7689076859996281,0.7890077469016619,0.0201000609020337,0.1187763639237119,0.1772103700496019,-0.0679598017997136,-0.0149949241447864,6346.330733096439,125,229
0.9,0.625,10.0,0.8288590258469776,0.8474899598393575,0.0186309339923799,0.7698135260276527,0.7900389737393403,0.0202254477116875,0.1188593433593268,0.176534554198637,-0.0681307950563543,0.0064165657904383,6347.174192123079,125,229
0.9,0.65,10.0,0.8288590258469776,0.8474899598393575,0.0186309339923799,0.7694697837484266,0.8000108630891098,0.0305410793406832,0.1189265736610813,0.1769168084651085,-0.0682807135888946,0.0272719378988843,6347.971665350033,125,229
0.9,0.7,10.0,0.8288590258469776,0.8430105035526722,0.0141514777056945,0.7708376556715333,0.7940839301553293,0.023246274483796,0.1190176831685201,0.1804519411813483,-0.0685264741102475,0.0671719972073302,6349.442605003582,125,229
0.95,0.55,10.0,0.8354803830707447,0.8550200803212852,0.0195396972505405,0.7594953117069397,0.7903685216309706,0.0308732099240308,0.1063769724161233,0.1822109966210719,-0.0271680517587988,-0.0596436971965425,6352.32291102646,125,229
0.95,0.6,10.0,0.8354803830707447,0.8505406240346,0.0150602409638552,0.7689076859996281,0.7917943613725433,0.0228866753729152,0.1065305268882679,0.1771502265175109,-0.0274996039394722,-0.0153345764327236,6354.296002155971,125,229
0.95,0.625,10.0,0.8354803830707447,0.8505406240346,0.0150602409638552,0.7698135260276527,0.7899064897358886,0.0200929637082358,0.1065928004260898,0.1764361936873055,-0.0276388058753397,0.0061078185487592,6355.19115077907,125,229
0.95,0.65,10.0,0.8354803830707447,0.8505406240346,0.0150602409638552,0.7694697837484266,0.797005893148656,0.0275361094002294,0.1066450626467649,0.1767929393060159,-0.0277614319243317,0.0269898199373543,6356.029873550398,125,229
0.95,0.7,10.0,0.8354803830707447,0.8505406240346,0.0150602409638552,0.7708376556715333,0.7942951884311037,0.0234575327595704,0.1067212761606157,0.1803045425319606,-0.0279639823772428,0.0669319586841933,6357.565196273012,125,229
1.0,0.55,10.0,0.8399598393574298,0.8550200803212852,0.0150602409638553,0.7594953117069397,0.7928184910164238,0.033323179309484,0.0995072086216078,0.1822824813531261,0.0073548102745617,-0.0600086853887439,6358.925323342245,125,229
1.0,0.6,10.0,0.8399598393574298,0.8550200803212852,0.0150602409638553,0.7689076859996281,0.7938102025105691,0.0249025165109409,0.0995996943400977,0.1771003129424774,0.007093679600889,-0.0156467399051449,6361.0225309707575,125,229
1.0,0.625,10.0,0.8399598393574298,0.8550200803212852,0.0150602409638553,0.7698135260276527,0.7902502320151148,0.020436705987462,0.0996396485231958,0.1763462096473886,0.0069821904699634,0.0058196721369849,6361.958351436599,125,229
1.0,0.65,10.0,0.8399598393574298,0.8550200803212852,0.0150602409638553,0.7694697837484266,0.7968734091452043,0.0274036253967777,0.0996747079700058,0.1766731648958248,0.0068829441522259,0.026723110393754,6362.823673816783,125,229
1.0,0.7,10.0,0.8399598393574298,0.8506693440428382,0.0107095046854084,0.7708376556715333,0.79129021849065,0.0204525628191166,0.0997297638573295,0.1801472348863125,0.0067166321981368,0.0667010541213546,6364.380095683214,125,229
1.05,0.55,10.0,0.8496318607764392,0.8574863556791269,0.0078544949026877,0.7594953117069397,0.7931693304894479,0.0336740187825082,0.0968786560936941,0.1823403340884155,0.0362094920768056,-0.0603162147391493,6364.148842118762,125,229
