c_ls,c_lq,lam_gamma,ls_prior,ls_post,ls_gain,lq_prior,lq_post,lq_gain,mse_ls,mse_lq,bias_ls,bias_lq,nll,n_ls,n_lq
0.5,0.5,10.0,0.8162676346411286,0.7914684378539801,-0.02479919678714848,0.7570032442862361,0.7913576504333986,0.03435440614716245,0.4191938525760641,0.1932071299132106,-0.49429229254682416,-0.10307720392496234,6333.721097170059,125,229
0.5,0.75,10.0,0.8162676346411286,0.7893265369168985,-0.026941097724230145,0.7725097545303329,0.7930527033176509,0.020542948787317994,0.42188363298451986,0.18757544096902398,-0.49648551248762046,0.10519256458349457,6338.298631459085,125,229
0.5,1.0,10.0,0.8162676346411286,0.7893265369168985,-0.026941097724230145,0.7698132442003763,0.7788901500700388,0.009076905869662477,0.4233640192643911,0.2500319908422107,-0.49781380789647006,0.25680844204232356,6340.212919815875,125,229
0.5,1.25,10.0,0.8162676346411286,0.7893265369168985,-0.026941097724230145,0.774739001515729,0.7759743894353839,0.001235387919654829,0.42392350906876874,0.33320708378733666,-0.49851817165823586,0.36147203684074336,6340.722488730138,125,229
0.5,1.5,10.0,0.8162676346411286,0.7938059932035836,-0.022461641437545032,0.7799782711856798,0.7810094980233582,0.0010312268376784228,0.42402119777556585,0.40007598940060857,-0.49858581827451853,0.42718150755062856,6340.136038450324,125,229
0.5,1.75,10.0,0.8162676346411286,0.7938059932035836,-0.022461641437545032,0.7791493642805416,0.7791493642805416,0.0,0.4240210594236784,0.4512396418509839,-0.4985912586677213,0.4730829637200885,6339.9713652926785,125,229
0.5,2.0,10.0,0.8162676346411286,0.7938059932035836,-0.022461641437545032,0.7686894582468381,0.7681273604980395,-0.0005620977487985623,0.42401976329258656,0.4896385517442308,-0.49859266608289293,0.5007902646462402,6339.844623290827,125,229
0.75,0.5,10.0,0.8243795695602925,0.8026979713726702,-0.021681598187622275,0.7570032442862361,0.7897276496098493,0.032724405323613204,0.19367294664041604,0.19190634421540503,-0.2149823456470834,-0.10329670706281024,6321.677260368688,125,229
0.75,0.75,10.0,0.8243795695602925,0.8026979713726702,-0.021681598187622275,0.7725097545303329,0.7908111276889785,0.018301373158645662,0.19508719767101104,0.18741430047978797,-0.2173006110138871,0.10514770613891011,6327.652075885193,125,229
0.75,1.0,10.0,0.8243795695602925,0.8026979713726702,-0.021681598187622275,0.7698132442003763,0.7788901500700388,0.009076905869662477,0.19512291951294333,0.25012913196250597,-0.21835794728067415,0.2568212256493292,6330.621678907647,125,229
0.75,1.25,10.0,0.8243795695602925,0.7951678508907425,-0.02921171866954997,0.774739001515729,0.7766618739938362,0.0019228724781071849,0.19456225597540527,0.3332469659795995,-0.21845547409843324,0.36147874929764423,6331.776343244303,125,229
0.75,1.5,10.0,0.8243795695602925,0.7951678508907425,-0.02921171866954997,0.7799782711856798,0.7812278534929306,0.0012495823072508072,0.19456276854029858,0.4000175506949477,-0.21839620192392117,0.42717736993730493,6331.205085714624,125,229
0.75,1.75,10.0,0.8243795695602925,0.7951678508907425,-0.02921171866954997,0.7791493642805416,0.7791493642805416,0.0,0.19459781290692663,0.4512501012771199,-0.21836626378520985,0.473100403758249,6330.913154332736,125,229
0.75,2.0,10.0,0.8243795695602925,0.7951678508907425,-0.02921171866954997,0.7686894582468381,0.7681273604980395,-0.0005620977487985623,0.19462004390311516,0.48964666556609826,-0.21835041545674982,0.5007969754509176,6330.732564001346,125,229
1.0,0.5,10.0,0.8399598393574298,0.8550200803212852,0.015060240963855387,0.7570032442862361,0.7905010056344223,0.03349776134818616,0.09940730252774715,0.19291888567564372,0.007654855363776747,-0.10558421006319085,6356.590292477296,125,229
1.0,0.75,10.0,0.8399598393574298,0.8506693440428382,0.010709504685408433,0.7725097545303329,0.7954588992722339,0.022949144741901017,0.09976490794208817,0.18676857923226484,0.006584415085469253,0.10414762377954923,6365.791544000424,125,229
1.0,1.0,10.0,0.8399598393574298,0.8550200803212852,0.015060240963855387,0.7698132442003763,0.7811638620211699,0.011350617820793607,0.09984876637326781,0.24974354555110184,0.006185994183252608,0.25626762330674746,6370.1448861618155,125,229
1.0,1.25,10.0,0.8399598393574298,0.8550200803212852,0.015060240963855387,0.774739001515729,0.7763181317146101,0.001579130198881007,0.0997757265593619,0.3330726372344751,0.00621480556428633,0.3612952330909871,6371.280165948072,125,229
1.0,1.5,10.0,0.8399598393574298,0.8550200803212852,0.015060240963855387,0.7799782711856798,0.7812278534929306,0.0012495823072508072,0.09977766965000334,0.3999245262092611,0.006225223180425066,0.427106733168661,6370.912506572108,125,229
1.0,1.75,10.0,0.8399598393574298,0.8550200803212852,0.015060240963855387,0.7791493642805416,0.7794931065597678,0.00034374227922617795,0.09979113889563901,0.451215617331973,0.006211115892478802,0.47307888429900746,6370.671194707067,125,229
1.0,2.0,10.0,0.8399598393574298,0.8550200803212852,0.015060240963855387,0.7686894582468381,0.7681273604980395,-0.0005620977487985623,0.09979937911086724,0.4896308103490812,0.006204895690948398,0.5007881451448392,6370.509024942001,125,229
1.25,0.5,10.0,0.8520981361342808,0.8653408505818146,0.013242714447533888,0.7570032442862361,0.7915322324721008,0.034528988185864695,0.11057196063581647,0.19371690315091739,0.10650635573015421,-0.1066882698963405,6373.348773344228,125,229
1.25,0.75,10.0,0.8520981361342808,0.8653408505818146,0.013242714447533888,0.7725097545303329,0.7942951884311037,0.021785433900770812,0.11042932709256022,0.18596530913840376,0.10635885280242441,0.10322612462079483,6383.721257725629,125,229
1.25,1.0,10.0,0.8520981361342808,0.8653408505818146,0.013242714447533888,0.7698132442003763,0.7844292854664464,0.014616041266070079,0.11036984037674764,0.24887742735332483,0.10629518249146808,0.2556650153170712,6389.050980122634,125,229
1.25,1.25,10.0,0.8520981361342808,0.8674827515188962,0.015384615384615441,0.774739001515729,0.7764506157180618,0.0017116142023327896,0.11023341993842559,0.33288026743183,0.10610412302734262,0.36114141902832797,6392.615421924974,125,229
