prior_mode,lam_gamma,b_bound,mse_ls,mse_lq,auc_ls,auc_lq,auc_prior_ls,auc_prior_lq,auc_zprior_ls,auc_zprior_lq,auc_zprior_ls_wavg,auc_zprior_lq_wavg,gain_ls,gain_lq,gain_ls_wavg,gain_lq_wavg,auc_ls_wavg,auc_lq_wavg,auc_prior_ls_wavg,auc_prior_lq_wavg,auc_ls_niigata2004,auc_prior_ls_niigata2004,n_ls,n_lq,n,a_LS,b_LS,a_LQ,b_LQ,c_LS,c_LQ,gamma_ls_max,gamma_lq_max,sum_gamma2,frac_middle
area-lq-c062,0.0,,0.16385757807017412,0.213679206277093,0.7023809523809523,0.8291284403669725,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.8062691131498471,0.8399598393574298,0.7701572683068789,-0.13857142857142857,0.02285932721712547,-0.14046699618988767,0.040368720679456294,0.6994928431675421,0.8105259889863352,0.7968643805993205,0.715445570663787,0.5625,0.875,125,229,278,1.0,0.0,1.0,0.0,1.0,0.62,3.0295795807007955,4.434370492252602,74.69289931929333,0.33133971291866027
area-lq-c062,0.1,,0.16298274174758295,0.21330831557642407,0.7038095238095238,0.8295107033639144,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.8062691131498471,0.8399598393574298,0.7701572683068789,-0.13714285714285712,0.023241590214067354,-0.13903820409844514,0.04023623667600451,0.7009216352589847,0.8103935049828834,0.7968643805993205,0.715445570663787,0.5,0.875,125,229,278,1.0,0.0,1.0,0.0,1.0,0.62,2.8381170037785384,4.22832448437436,69.53265582850355,0.33851674641148327
area-lq-c062,1.0,,0.1547532758027235,0.21091266748079548,0.7395238095238096,0.8292048929663608,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.8062691131498471,0.8399598393574298,0.7701572683068789,-0.10142857142857131,0.022935779816513735,-0.09612037895170444,0.029620905074368098,0.7438394604057254,0.799778173381247,0.7968643805993205,0.715445570663787,0.6875,0.875,125,229,278,1.0,0.0,1.0,0.0,1.0,0.62,2.312029480107736,3.1669223481728843,44.69072117775655,0.35406698564593303
area-lq-c062,10.0,,0.09963204174432762,0.17640701692510566,0.8414285714285714,0.8201834862385322,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.8062691131498471,0.8399598393574298,0.7701572683068789,0.0004761904761905189,0.01391437308868515,0.015060240963855387,0.02008586651443789,0.8550200803212852,0.7902431348213168,0.7968643805993205,0.715445570663787,1.0,0.875,125,229,278,1.0,0.0,1.0,0.0,1.0,0.62,0.5856314539618314,0.4658540267145556,1.5999093681418375,0.5717703349282297
[베이스라인] 전부 0.5,,,0.25,0.25,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
[베이스라인] 전부 기저확률,,,0.13440000000000007,0.24942316126694764,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
